ID,Collection,Groups,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55
GOAT-MODERN-SILVIA-ES--10006-57207-V2,CSIC Barcelone,Modern_Goat,5.107799,4.10379,5.094894,3.615981,5.928557,4.088304,5.967272,3.662439,6.679628,4.023779,6.842231,3.763098,7.531358,3.881824,5.218782,4.124438,5.29105,4.217354,5.383966,4.292203,5.479463,4.356728,5.590446,4.392862,5.701429,4.354147,5.784021,4.271555,5.848546,4.173477,6.036959,4.165734,6.124713,4.256069,6.225372,4.333499,6.32345,4.41351,6.442176,4.444482,6.545416,4.372214,6.60736,4.263812,6.656399,4.145086,6.777706,4.111533,6.873203,4.199287,6.976443,4.276717,7.100331,4.279298,7.193247,4.186382,7.288744,4.098628,7.40747,4.05217,7.531358,4.005712,7.456509,3.886986,7.376498,3.899891,7.299068,3.884405,7.234543,3.835366,7.157113,3.817299,7.074521,3.814718,6.991929,3.806975,6.911918,3.79407,6.782868,3.662439,6.687371,3.644372,6.602198,3.703735,6.498958,3.675344,6.393137,3.66502,6.284735,3.662439,6.178914,3.680506,6.070512,3.693411,5.895004,3.595333,5.791764,3.603076,5.691105,3.621143,5.587865,3.631467,5.484625,3.634048,5.386547,3.659858,5.285888,3.680506,5.182648,3.670182
GOAT-MODERN-SILVIA-ES-09-10006-57207,CSIC Barcelone,Modern_Goat,5.47667,4.31503,5.43555,3.83444,6.27594,4.26877,6.29393,3.855,7.02638,4.18653,7.16002,3.92953,7.90018,4.08116,5.57947,4.34587,5.65657,4.43068,5.74652,4.50007,5.84675,4.55918,5.95726,4.57974,6.0652,4.53862,6.15258,4.46409,6.19884,4.36129,6.37617,4.33816,6.46869,4.42554,6.56892,4.50521,6.66658,4.58488,6.78994,4.61315,6.89274,4.54119,6.95442,4.43068,6.99297,4.30989,7.10605,4.27134,7.20628,4.34587,7.30908,4.41783,7.43244,4.4461,7.50954,4.35358,7.6072,4.27391,7.71771,4.21737,7.8385,4.17625,7.84364,4.01434,7.75626,4.03747,7.66888,4.04261,7.58664,4.01691,7.51725,3.96294,7.4273,3.96294,7.33735,3.96037,7.24997,3.94495,7.08292,3.85757,6.9904,3.87813,6.89531,3.89869,6.79508,3.88841,6.69999,3.86785,6.60233,3.86528,6.5021,3.87556,6.40444,3.87813,6.20398,3.77533,6.11146,3.81645,6.02151,3.87813,5.911,3.86785,5.8082,3.89869,5.70797,3.94238,5.60003,3.95009,5.50494,3.89869
GOAT-MODERN-SILVIA-ES-09-50001-460044,CSIC Barcelone,Modern_Goat,6.31669,3.540095,6.15381,3.071815,7.072555,3.2576,7.04965,2.88603,7.85387,3.04891,7.958215,2.7995,8.58174,2.781685,6.431215,3.524825,6.543195,3.56809,6.644995,3.62917,6.756975,3.66989,6.87659,3.6648,6.96312,3.58336,7.01402,3.47647,7.0242,3.3594,7.19726,3.336495,7.306695,3.42557,7.42631,3.49683,7.551015,3.563,7.688445,3.550275,7.79279,3.4612,7.825875,3.326315,7.82842,3.18634,7.942945,3.11508,8.034565,3.188885,8.14909,3.229605,8.263615,3.25251,8.36287,3.183795,8.431585,3.087085,8.48503,2.980195,8.56647,2.89112,8.51557,2.746055,8.4494,2.76387,8.380685,2.766415,8.31197,2.761325,8.24071,2.761325,8.16945,2.766415,8.100735,2.77405,8.029475,2.786775,7.861505,2.715515,7.76225,2.68243,7.67063,2.74351,7.561195,2.75369,7.449215,2.761325,7.34487,2.78932,7.25834,2.858035,7.15145,2.89112,6.935125,2.86567,6.85114,2.93693,6.746795,2.903845,6.644995,2.91657,6.54065,2.959835,6.45921,3.03364,6.365045,3.09472,6.258155,3.07945
GOAT-MODERN-SILVIA-ES-09-50001-460045,CSIC Barcelone,Modern_Goat,5.47476,3.28176,5.289,2.77608,6.2307,2.9541,6.18426,2.57484,7.02534,2.7477,7.08984,2.46648,7.72452,2.42778,5.5857,3.24822,5.69406,3.29724,5.805,3.3411,5.91852,3.37206,6.0372,3.354,6.13524,3.28692,6.1662,3.1734,6.17394,3.05472,6.34422,3.02892,6.44226,3.11922,6.5661,3.1734,6.70026,3.19404,6.83442,3.20436,6.93504,3.11664,6.98664,3.0057,6.97632,2.87154,7.11048,2.83542,7.22142,2.88444,7.33236,2.9283,7.45362,2.93088,7.53876,2.84832,7.59552,2.73996,7.63164,2.62644,7.72194,2.54646,7.65486,2.40714,7.58262,2.42262,7.51296,2.42004,7.43814,2.42004,7.3659,2.41746,7.29624,2.43036,7.224,2.44842,7.15434,2.4639,6.99954,2.38908,6.91182,2.34264,6.81894,2.40714,6.708,2.40972,6.59706,2.41746,6.49128,2.45358,6.3984,2.51808,6.30036,2.56968,6.0759,2.53614,5.98302,2.59806,5.87466,2.58774,5.76372,2.59548,5.66568,2.6445,5.59602,2.72964,5.50572,2.79414,5.39736,2.7864
GOAT-MODERN-SILVIA-ES-09-50001-46013-deux,CSIC Barcelone,Modern_Goat,5.230085,3.07622,5.08956,2.623985,5.996585,2.77984,6.022135,2.45791,6.71454,2.583105,6.82696,2.34038,7.529585,2.48346,5.33995,3.08133,5.449815,3.13754,5.562235,3.180975,5.679765,3.20908,5.79985,3.191195,5.899495,3.129875,5.945485,3.017455,5.976145,2.899925,6.09112,2.89226,6.221425,2.95869,6.34662,3.037895,6.46926,3.1171,6.61234,3.13243,6.68899,3.00468,6.727315,2.8616,6.717095,2.715965,6.78608,2.669975,6.86273,2.7594,6.977705,2.797725,7.07735,2.8616,7.18466,2.80028,7.268975,2.71341,7.340515,2.61632,7.447825,2.557555,7.49637,2.40681,7.422275,2.373595,7.33796,2.36082,7.2562,2.358265,7.171885,2.3506,7.08757,2.34549,7.003255,2.34549,6.921495,2.342935,6.737535,2.27395,6.65833,2.199855,6.55613,2.21263,6.49992,2.2995,6.39772,2.302055,6.29552,2.276505,6.206095,2.33527,6.12178,2.4017,5.914825,2.404255,5.81518,2.34038,5.730865,2.41703,5.618445,2.450245,5.506025,2.480905,5.408935,2.54989,5.311845,2.61632,5.20198,2.65209
GOAT-MODERN-SILVIA-ES-09-50001-46013-trois,CSIC Barcelone,Modern_Goat,5.241342,2.793336,5.136464,2.32778,6.016416,2.555442,6.067576,2.230576,6.755678,2.399404,6.89381,2.153836,7.57168,2.338012,5.353894,2.8138,5.46133,2.872634,5.566208,2.92891,5.683876,2.962164,5.801544,2.95449,5.906422,2.895656,5.955024,2.785662,5.990836,2.670552,6.111062,2.662878,6.22873,2.739618,6.348956,2.818916,6.461508,2.905888,6.59964,2.926352,6.691728,2.816358,6.737772,2.683342,6.750562,2.542652,6.824744,2.491492,6.9066,2.575906,7.006362,2.632182,7.11124,2.6859,7.211002,2.624508,7.305648,2.555442,7.384946,2.471028,7.484708,2.412194,7.5461,2.258714,7.46936,2.22546,7.390062,2.197322,7.310764,2.176858,7.228908,2.164068,7.144494,2.158952,7.062638,2.153836,6.978224,2.156394,6.801722,2.08477,6.737772,1.997798,6.630336,2.00803,6.56127,2.089886,6.453834,2.07198,6.348956,2.061748,6.25431,2.115466,6.167338,2.181974,5.96014,2.156394,5.865494,2.079654,5.796428,2.1743,5.686434,2.179416,5.573882,2.222902,5.466446,2.279178,5.361568,2.34057,5.2439,2.363592
GOAT-Moco-Verde-R,CSIC Barcelone,Modern_Goat,0.76219,1.194986,0.707824,0.652392,1.357018,0.915694,1.304784,0.6929,2.133066,0.89544,2.230072,0.66625,2.841956,0.786708,0.86346,1.24722,0.955136,1.309048,1.043614,1.38047,1.154478,1.3858,1.253616,1.335698,1.312246,1.242956,1.351688,1.138488,1.345292,1.025492,1.42311,1.05001,1.499862,1.181128,1.608594,1.28986,1.735448,1.376206,1.88682,1.388998,2.021136,1.323972,2.093624,1.190722,2.08936,1.038284,2.200224,0.976456,2.276976,1.064934,2.378246,1.121432,2.488044,1.158742,2.60104,1.13529,2.70231,1.07666,2.790788,1.000974,2.84089,0.898638,2.80358,0.717418,2.758808,0.653458,2.690584,0.615082,2.613832,0.601224,2.536014,0.593762,2.459262,0.600158,2.385708,0.627874,2.311088,0.652392,2.134132,0.622544,2.024334,0.601224,1.916668,0.569244,1.814332,0.524472,1.706666,0.51701,1.605396,0.567112,1.506258,0.619346,1.402856,0.663052,1.234428,0.67691,1.169402,0.651326,1.104376,0.624676,1.040416,0.598026,0.97006,0.59696,0.901836,0.606554,0.838942,0.63427,0.77285,0.65559
GOAT-Modern-Noe-L,CSIC Barcelone,Modern_Goat,0.714235,1.55507,0.783865,0.840835,1.416865,1.497045,1.33352,0.899915,2.16697,1.408425,2.14165,1.011745,2.69658,1.20059,0.785975,1.61415,0.866155,1.661625,0.94106,1.71754,1.028625,1.735475,1.113025,1.70066,1.18582,1.640525,1.27655,1.613095,1.353565,1.5614,1.490715,1.55718,1.570895,1.615205,1.65635,1.655295,1.754465,1.66057,1.849415,1.642635,1.9412,1.606765,2.0256,1.55507,2.089955,1.48122,2.237655,1.427415,2.31678,1.44957,2.395905,1.471725,2.47714,1.471725,2.55732,1.46012,2.630115,1.423195,2.67548,1.359895,2.69869,1.28288,2.676535,1.13307,2.62695,1.07821,2.564705,1.039175,2.49613,1.0128,2.423335,1.00014,2.349485,1.00436,2.27669,1.015965,2.20284,1.01913,2.041425,0.969545,1.959135,0.910465,1.89689,0.830285,1.81249,0.78492,1.71332,0.773315,1.615205,0.8018,1.522365,0.844,1.427415,0.88198,1.26811,0.88409,1.212195,0.84822,1.161555,0.807075,1.10353,0.77859,1.03812,0.77648,0.97271,0.779645,0.90941,0.79547,0.847165,0.81657
GOAT-MODERN-SILVIA-ES-NoNumber-R,CSIC Barcelone,Modern_Goat,1.724723,2.029694,1.728169,1.480057,2.358787,1.828103,2.372571,1.554146,3.132414,1.938375,3.168597,1.590329,3.82506,1.788474,1.803981,2.110675,1.874624,2.196825,1.965943,2.251961,2.074492,2.250238,2.176149,2.212332,2.251961,2.133074,2.312266,2.040032,2.351895,1.940098,2.438045,1.910807,2.501796,2.01591,2.5845,2.107229,2.680988,2.183041,2.79126,2.233008,2.91187,2.226116,3.008358,2.15375,3.079001,2.053816,3.220287,1.978004,3.297822,2.029694,3.385695,2.058985,3.478737,2.057262,3.56661,2.026248,3.645868,1.978004,3.723403,1.926314,3.800938,1.874624,3.804384,1.700601,3.750971,1.629958,3.682051,1.569653,3.60107,1.528301,3.509751,1.517963,3.418432,1.509348,3.328836,1.526578,3.246132,1.564484,3.089339,1.542085,2.999743,1.502456,2.908424,1.467996,2.822274,1.424921,2.727509,1.41286,2.634467,1.436982,2.555209,1.493841,2.467336,1.53347,2.300205,1.524855,2.234731,1.486949,2.162365,1.466273,2.096891,1.43009,2.021079,1.426644,1.948713,1.438705,1.876347,1.462827,1.805704,1.488672
CSIC-Alpine-1-R,CSIC,Modern_Goat,1.782456,2.38641,1.777932,1.906866,2.583204,2.221284,2.610348,1.997346,3.408834,2.225808,3.535506,2.04711,4.087434,2.207712,1.909128,2.436174,2.010918,2.524392,2.112708,2.614872,2.223546,2.684994,2.357004,2.675946,2.463318,2.603562,2.52213,2.479152,2.547012,2.347956,2.65785,2.345694,2.721186,2.481414,2.836548,2.583204,2.960958,2.671422,3.11025,2.700828,3.243708,2.642016,3.322878,2.513082,3.372642,2.368314,3.46086,2.323074,3.52872,2.406768,3.614676,2.470104,3.700632,2.535702,3.797898,2.515344,3.883854,2.447484,3.960762,2.372838,4.03767,2.300454,4.035408,2.173782,3.976596,2.1489,3.915522,2.12628,3.852186,2.108184,3.78885,2.090088,3.725514,2.074254,3.659916,2.062944,3.594318,2.062944,3.43824,1.995084,3.350022,1.947582,3.24597,1.96794,3.139656,1.96794,3.033342,1.952106,2.931552,1.97925,2.8275,2.004132,2.721186,2.01318,2.542488,1.920438,2.445222,1.906866,2.343432,1.920438,2.243904,1.895556,2.151162,1.931748,2.060682,1.97925,1.961154,1.983774,1.861626,1.952106
